epoch,acc,loss,lr,mean_io_u_1,val_acc,val_loss,val_mean_io_u_1
0,0.9699127078056335,0.27618736028671265,1e-04,0.3762945532798767,0.9998765587806702,0.09675542265176773,0.377180814743042
1,0.9984429478645325,0.07718507945537567,1e-04,0.3762946128845215,0.9996993541717529,0.06228625774383545,0.3765595853328705
2,0.9968147873878479,0.04887767136096954,1e-04,0.3762945830821991,0.9998793005943298,0.03303404897451401,0.37635597586631775
3,0.9982540011405945,0.029253225773572922,1e-04,0.3762945234775543,0.9992420077323914,0.021189086139202118,0.376355916261673
4,0.9993074536323547,0.021877048537135124,1e-04,0.3762946128845215,0.9998480081558228,0.017089592292904854,0.37635594606399536
5,0.9997876882553101,0.01669916883111,1e-04,0.37629467248916626,0.9997522830963135,0.013113157823681831,0.37635594606399536
6,0.9998636841773987,0.012127119116485119,1e-04,0.37629464268684387,0.9998786449432373,0.008500447496771812,0.37635594606399536
7,0.9998682141304016,0.007217748090624809,1e-04,0.3762946128845215,0.9998794198036194,0.0049105118960142136,0.376355916261673
8,0.9998723864555359,0.00445563392713666,1e-04,0.3762945830821991,0.9998787045478821,0.0035043649841099977,0.37635594606399536
9,0.9998773336410522,0.0031784363090991974,1e-04,0.3762945532798767,0.9998783469200134,0.0026829740963876247,0.3763558864593506
0,0.9868696331977844,0.1636657863855362,1e-04,0.4020496904850006,0.9996808767318726,0.0863119587302208,0.4021076261997223
0,0.9699447154998779,0.4951342046260834,1e-04,0.4020489454269409,0.9997639656066895,0.32736819982528687,0.40210628509521484
1,0.999809980392456,0.1891096830368042,1e-04,0.40204891562461853,0.998055100440979,0.15795154869556427,0.40210625529289246
2,0.999817967414856,0.11156390607357025,1e-04,0.40204891562461853,0.9998230338096619,0.10283677279949188,0.40210625529289246
3,0.9997031092643738,0.07712897658348083,1e-04,0.4020490348339081,0.9998231530189514,0.06780580431222916,0.40210625529289246
4,0.9997853636741638,0.054384760558605194,1e-04,0.4020489454269409,0.9998231530189514,0.04444967582821846,0.4021061956882477
5,0.9998324513435364,0.03873993083834648,1e-04,0.4020489752292633,0.9998234510421753,0.03232131898403168,0.40210625529289246
6,0.9998319149017334,0.029403256252408028,1e-04,0.4020489752292633,0.9998234510421753,0.02494405023753643,0.40210625529289246
7,0.9998322129249573,0.023184729740023613,1e-04,0.4020489752292633,0.9998230338096619,0.01974661648273468,0.4021061956882477
8,0.999832034111023,0.018556807190179825,1e-04,0.40204885601997375,0.9998233318328857,0.01584000140428543,0.40210622549057007
9,0.9998321533203125,0.01561199314892292,1e-04,0.40204891562461853,0.9998230338096619,0.014443214982748032,0.40210625529289246
10,0.9998325109481812,0.013288159854710102,1e-04,0.4020489454269409,0.9998232126235962,0.010864300653338432,0.40210625529289246
11,0.999832034111023,0.010249336250126362,1e-04,0.4020489454269409,0.9998231530189514,0.008875168859958649,0.4021061658859253
0,0.9367422461509705,0.5941933989524841,1e-04,0.4000000059604645,0.9799103140830994,0.44720393419265747,0.4000000059604645
1,0.9800680875778198,0.2762921452522278,1e-04,0.4000000059604645,0.9802464246749878,0.18041163682937622,0.4000000059604645
2,0.9829134345054626,0.1723446398973465,1e-04,0.4000000059604645,0.9838829636573792,0.143408864736557,0.4000000059604645
3,0.9877649545669556,0.11565464735031128,1e-04,0.4000000059604645,0.9859135746955872,0.10998045653104782,0.4000000059604645
4,0.9923197627067566,0.07867302000522614,1e-04,0.40000003576278687,0.9849338531494141,0.09798707067966461,0.4000000059604645
5,0.9941021203994751,0.05591268092393875,1e-04,0.4000000059604645,0.987918496131897,0.07244834303855896,0.4000000059604645
6,0.9951105713844299,0.04171152412891388,1e-04,0.4000000059604645,0.9896385073661804,0.05682317912578583,0.4000000059604645
