epoch,acc,iou,loss,lr,val_acc,val_iou,val_loss
0,0.822149395942688,0.4984227120876312,0.42081117630004883,1e-04,0.6640619039535522,0.23683717846870422,0.5941052436828613
1,0.8898991942405701,0.6132673025131226,0.2809950113296509,1e-04,0.6641330718994141,0.2243616282939911,0.5510133504867554
2,0.9077906012535095,0.6510838270187378,0.23655621707439423,1e-04,0.6668273210525513,0.20646102726459503,0.5396314263343811
3,0.915147066116333,0.6707409024238586,0.2153845578432083,1e-04,0.8390655517578125,0.354046493768692,0.39329251646995544
4,0.9234765768051147,0.6888837814331055,0.19628514349460602,1e-04,0.922438383102417,0.5696099996566772,0.2270742952823639
5,0.9348723292350769,0.7103347182273865,0.1734311431646347,1e-04,0.9401601552963257,0.6535980701446533,0.17554861307144165
6,0.942916989326477,0.7288522720336914,0.15606090426445007,1e-04,0.9483171105384827,0.6791256666183472,0.15663567185401917
7,0.948988139629364,0.7448396682739258,0.1414354294538498,1e-04,0.957279622554779,0.7106764316558838,0.13219623267650604
8,0.9531267881393433,0.75926274061203,0.1296505481004715,1e-04,0.9642518162727356,0.732330858707428,0.11405123770236969
9,0.9559417963027954,0.7716691493988037,0.11977210640907288,1e-04,0.967322587966919,0.7476496696472168,0.1026916429400444
10,0.9580219388008118,0.7827538847923279,0.11131488531827927,1e-04,0.9679793119430542,0.7573028802871704,0.09623386710882187
11,0.9593856930732727,0.7925066947937012,0.10413045436143875,1e-04,0.9682331681251526,0.7697547674179077,0.08990562707185745
12,0.960305392742157,0.8010078072547913,0.09829121083021164,1e-04,0.9687238335609436,0.7838664054870605,0.08279415965080261
13,0.9609222412109375,0.8086300492286682,0.0932801216840744,1e-04,0.9689528346061707,0.7956663370132446,0.07713677734136581
14,0.9615022540092468,0.8157957792282104,0.08867312967777252,1e-04,0.9687885642051697,0.8047852516174316,0.07306167483329773
15,0.9620562195777893,0.8227249383926392,0.08422058075666428,1e-04,0.9683945178985596,0.8111259341239929,0.07036066800355911
16,0.9626046419143677,0.829430878162384,0.07989608496427536,1e-04,0.9684762358665466,0.8181026577949524,0.06716334074735641
17,0.9631040096282959,0.8359625339508057,0.07572651654481888,1e-04,0.9661693572998047,0.8148309588432312,0.06975982338190079
18,0.963435709476471,0.8421226143836975,0.07208710163831711,1e-04,0.9570783972740173,0.7863866090774536,0.0878920778632164
19,0.9632790088653564,0.8467245697975159,0.0697542205452919,1e-04,0.9588519930839539,0.800818145275116,0.08154020458459854
20,0.9631218314170837,0.8508895635604858,0.06773918122053146,1e-04,0.9683429598808289,0.8454885482788086,0.05720284581184387
21,0.9630287289619446,0.8553173542022705,0.06560325622558594,1e-04,0.9483669400215149,0.775801420211792,0.1044357568025589
22,0.9637740850448608,0.8612748980522156,0.06185749173164368,1e-04,0.9589028358459473,0.8170636892318726,0.07644312083721161
